iter	Passed	Remaining
456	826	981
457	827	978
458	828	976
459	830	974
460	832	973
461	833	970
462	835	968
463	836	966
464	837	964
465	839	962
466	840	959
467	842	957
468	843	955
469	845	952
470	846	951
471	849	949
472	850	947
473	851	944
474	852	942
475	853	939
476	854	937
477	855	934
478	856	932
479	858	929
480	859	927
481	861	925
482	863	924
483	864	921
484	865	919
485	866	916
486	867	914
487	868	911
488	870	909
489	871	907
490	872	904
491	873	902
492	875	900
493	876	898
494	878	895
495	879	893
496	880	890
497	881	888
498	882	885
499	883	883
500	884	880
501	885	878
502	886	875
503	887	873
504	888	871
505	890	869
506	891	867
507	893	865
508	894	862
509	895	860
510	897	858
511	898	856
512	899	854
513	900	851
514	901	849
515	902	846
516	904	844
517	906	843
518	908	841
519	909	839
520	910	836
521	911	834
522	912	832
523	913	830
524	915	827
525	916	825
526	917	823
527	918	820
528	919	818
529	921	816
530	922	815
531	923	812
532	924	810
533	926	808
534	927	805
535	928	803
536	929	801
537	930	799
538	931	796
539	932	794
540	934	792
541	935	790
542	937	789
543	938	787
544	939	784
545	940	782
546	942	780
547	943	778
548	944	776
549	945	773
550	946	771
551	948	769
552	950	768
553	951	766
554	952	764
555	954	761
556	955	759
557	956	757
558	957	755
559	958	752
560	959	750
561	960	748
562	961	746
563	962	744
564	963	741
565	965	740
566	966	738
567	967	736
568	968	733
569	970	731
570	971	729
571	972	727
572	974	725
573	975	723
574	977	722
575	978	720
576	980	718
577	981	716
578	983	715
579	984	712
580	985	710
581	986	708
582	988	706
583	989	704
584	990	702
585	991	700
586	992	698
587	993	696
588	995	694
589	997	692
590	998	690
591	999	688
592	1000	686
593	1001	684
594	1002	682
595	1004	680
596	1005	678
597	1006	676
598	1007	674
599	1009	672
600	1010	670
601	1011	668
602	1013	666
603	1014	664
604	1015	662
605	1016	660
606	1017	658
607	1018	656
608	1019	654
609	1020	652
610	1021	650
611	1022	648
612	1024	646
613	1025	644
614	1027	643
615	1028	641
616	1029	639
617	1030	637
618	1031	635
619	1033	633
620	1034	631
621	1035	629
622	1036	627
623	1037	625
624	1040	624
625	1042	622
626	1043	620
627	1044	618
628	1045	616
629	1047	614
630	1048	612
631	1049	610
632	1050	608
633	1051	606
634	1052	605
635	1054	603
636	1055	601
637	1057	599
638	1058	597
639	1059	595
640	1060	593
641	1061	592
642	1062	590
643	1063	588
644	1064	586
645	1065	584
646	1067	582
647	1069	580
648	1070	578
649	1071	577
650	1073	575
651	1074	573
652	1075	571
653	1076	569
654	1077	567
655	1078	565
656	1079	563
657	1080	561
658	1081	559
659	1082	557
660	1084	556
661	1085	554
662	1087	552
663	1088	550
664	1089	548
665	1090	546
666	1091	544
667	1092	542
668	1093	541
669	1094	539
670	1095	537
671	1097	535
672	1099	534
673	1101	532
674	1102	530
675	1103	528
676	1104	527
677	1105	525
678	1107	523
679	1108	521
680	1109	519
681	1110	517
682	1111	516
683	1113	514
684	1115	512
685	1116	511
686	1117	509
687	1119	507
688	1120	505
689	1121	504
690	1123	502
691	1124	500
692	1125	498
693	1126	496
694	1128	495
695	1130	493
696	1131	491
697	1132	490
698	1133	488
699	1135	486
700	1136	484
701	1137	482
702	1138	481
703	1139	479
704	1140	477
705	1142	475
706	1143	473
707	1145	472
708	1146	470
709	1147	468
710	1148	466
711	1149	465
712	1150	463
713	1151	461
714	1153	459
715	1154	457
716	1155	456
717	1157	454
718	1158	452
719	1160	451
720	1161	449
721	1162	447
722	1163	445
723	1165	444
724	1166	442
725	1167	440
726	1168	438
727	1169	437
728	1171	435
